ticker,date,n_headlines,n_pos,n_neg,n_neu,mean_signed,median_signed,mean_score,open,close,open_close_return,pos_rate,neg_rate,neu_rate,frac_pos,frac_neg,pos_count,neg_count,neu_count
AAPL,2025-12-11,8,,,,0.2611186802387237,,,279.0950012207031,278.0299987792969,-0.0038159137094829,,,,,,,,
AMZN,2025-12-11,6,,,,0.1599800984064738,,,230.7100067138672,230.27999877929688,-0.0018638460493983,,,,,,,,
GOOGL,2025-12-11,8,,,,0.3950161561369896,,,320.0799865722656,312.42999267578125,-0.023900256865192,,,,,,,,
META,2025-12-11,23,,,,0.6341265414072119,,,642.72998046875,652.7100219726562,0.0155275804881976,,,,,,,,
MSFT,2025-12-11,4,,,,0.9160092175006866,,,476.55999755859375,483.4700012207031,0.0144997559541488,,,,,,,,
NVDA,2025-12-11,11,,,,0.1476749615235762,,,180.2749938964844,180.92999267578125,0.0036333313075743,,,,,,,,
TSLA,2025-12-11,5,,,,0.54897038936615,,,448.9450073242187,446.8900146484375,-0.004577381733298,,,,,,,,
AAPL,2025-12-03,11,4.0,1.0,6.0,0.2755062227899378,0.0,0.7650976208123293,286.20001220703125,284.1499938964844,-0.0071628868731981,0.3636363636363636,0.0909090909090909,0.5454545454545454,0.3636363636363636,0.0909090909090909,4.0,1.0,6.0
MSFT,2025-12-03,9,2.0,6.0,1.0,-0.443564944797092,-0.9012425541877748,0.8828213148646884,476.3200073242187,477.7300109863281,0.0029602024698274,0.2222222222222222,0.6666666666666666,0.1111111111111111,0.2222222222222222,0.6666666666666666,2.0,6.0,1.0
NVDA,2025-12-03,10,1.0,2.0,7.0,-0.0780543506145477,0.0,0.8227135956287384,181.0800018310547,179.58999633789062,-0.0082284375861351,0.1,0.2,0.7,0.1,0.2,1.0,2.0,7.0
AMZN,2025-12-03,7,1.0,1.0,5.0,0.0112425259181431,0.0,0.8998292599405561,233.3500061035156,232.3800048828125,-0.00415685106206,0.1428571428571428,0.1428571428571428,0.7142857142857143,0.1428571428571428,0.1428571428571428,1.0,1.0,5.0
GOOGL,2025-12-03,9,2.0,0.0,7.0,0.1897845798068576,0.0,0.89096909099155,315.8900146484375,319.6300048828125,0.0118395329416707,0.2222222222222222,0.0,0.7777777777777778,0.2222222222222222,0.0,2.0,0.0,7.0
META,2025-12-03,26,1.0,6.0,19.0,-0.1439632360751812,0.0,0.8161621919045081,644.4099731445312,639.5999755859375,-0.007464188574119,0.0384615384615384,0.2307692307692307,0.7307692307692307,0.0384615384615384,0.2307692307692307,1.0,6.0,19.0
TSLA,2025-12-03,8,0.0,1.0,7.0,-0.0783226266503334,0.0,0.8082055896520615,432.1000061035156,446.739990234375,0.0338810088499563,0.0,0.125,0.875,0.0,0.125,0.0,1.0,7.0
AAPL,2025-12-04,5,2.0,1.0,2.0,0.2638196349143982,0.0,0.7948848009109497,284.1000061035156,280.70001220703125,-0.0119675952954592,0.4,0.2,0.4,0.4,0.2,2.0,1.0,2.0
MSFT,2025-12-04,5,0.0,1.0,4.0,-0.1184480190277099,0.0,0.7838296890258789,479.760009765625,480.8399963378906,0.002251097528519,0.0,0.2,0.8,0.0,0.2,0.0,1.0,4.0
NVDA,2025-12-04,15,3.0,0.0,12.0,0.1595709800720214,0.0,0.8823424220085144,181.6199951171875,183.3800048828125,0.0096906167434338,0.2,0.0,0.8,0.2,0.0,3.0,0.0,12.0
AMZN,2025-12-04,6,2.0,1.0,3.0,0.1087479392687479,0.0,0.8022728264331818,232.77000427246097,229.11000061035156,-0.0157236911755402,0.3333333333333333,0.1666666666666666,0.5,0.3333333333333333,0.1666666666666666,2.0,1.0,3.0
GOOGL,2025-12-04,10,3.0,0.0,7.0,0.2727436363697052,0.0,0.9311379373073578,322.2300109863281,317.6199951171875,-0.0143065999812668,0.3,0.0,0.7,0.3,0.0,3.0,0.0,7.0
META,2025-12-04,90,5.0,31.0,54.0,-0.236803968085183,0.0,0.7949701163503858,676.0,661.530029296875,-0.0214052821052145,0.0555555555555555,0.3444444444444444,0.6,0.0555555555555555,0.3444444444444444,5.0,31.0,54.0
TSLA,2025-12-04,3,0.0,2.0,1.0,-0.5956780115763346,-0.8813799619674683,0.8778393665949503,449.94000244140625,454.5299987792969,0.0102013519868982,0.0,0.6666666666666666,0.3333333333333333,0.0,0.6666666666666666,0.0,2.0,1.0
AAPL,2025-12-05,3,1.0,1.0,1.0,0.07894883553187049,0.0,0.8656647006670634,280.5400085449219,278.7799987792969,-0.006273649789752422,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.0,1.0,1.0
MSFT,2025-12-05,6,1.0,0.0,5.0,0.09033457438151042,0.0,0.8526389300823212,482.5199890136719,483.1600036621094,0.0013264002798014651,0.16666666666666666,0.0,0.8333333333333334,0.16666666666666666,0.0,1.0,0.0,5.0
NVDA,2025-12-05,9,2.0,1.0,6.0,0.08722068866093953,0.0,0.8709657324684991,183.88999938964844,182.41000366210938,-0.008048266531357484,0.2222222222222222,0.1111111111111111,0.6666666666666666,0.2222222222222222,0.1111111111111111,2.0,1.0,6.0
AMZN,2025-12-05,15,4.0,4.0,7.0,-0.018896027406056736,0.0,0.9106500148773193,230.32000732421875,229.52999877929688,-0.0034300474114252744,0.26666666666666666,0.26666666666666666,0.4666666666666667,0.26666666666666666,0.26666666666666666,4.0,4.0,7.0
GOOGL,2025-12-05,9,3.0,0.0,6.0,0.27532843748728436,0.0,0.8884570267465379,319.489990234375,321.2699890136719,0.005571375735405892,0.3333333333333333,0.0,0.6666666666666666,0.3333333333333333,0.0,3.0,0.0,6.0
META,2025-12-05,59,5.0,26.0,28.0,-0.28118683372513725,0.0,0.7881323503235639,664.0,673.4199829101562,0.014186721250235346,0.0847457627118644,0.4406779661016949,0.4745762711864407,0.0847457627118644,0.4406779661016949,5.0,26.0,28.0
TSLA,2025-12-05,5,0.0,0.0,5.0,0.0,0.0,0.7687511801719665,453.0299987792969,455.0,0.00434850059821934,0.0,0.0,1.0,0.0,0.0,0.0,0.0,5.0
AAPL,2025-12-07,2,,,,-0.9983085691928864,,,,,,,,,,,0.0,2.0,0.0
MSFT,2025-12-07,4,,,,0.0,,,,,,,,,,,0.0,0.0,4.0
NVDA,2025-12-07,6,,,,0.1590169469515482,,,,,,,,,,,2.0,1.0,3.0
AMZN,2025-12-07,4,,,,0.2499998211860657,,,,,,,,,,,1.0,0.0,3.0
GOOGL,2025-12-07,6,,,,0.4999761780103047,,,,,,,,,,,3.0,0.0,3.0
META,2025-12-07,26,,,,-0.1115589371094336,,,,,,,,,,,1.0,4.0,21.0
TSLA,2025-12-07,6,,,,0.3333148757616679,,,,,,,,,,,2.0,0.0,4.0
AAPL,2025-12-08,4,,,,-0.2418238222599029,,,,,-0.0008628707085239,,,,,,1.0,2.0,1.0
MSFT,2025-12-08,7,,,,0.1392492481640407,,,,,0.0126419892760192,,,,,,2.0,1.0,4.0
NVDA,2025-12-08,12,,,,0.2245830049117406,,,,,0.0159330030214306,,,,,,6.0,3.0,3.0
AMZN,2025-12-08,5,,,,-0.1999895572662353,,,,,-0.0117600809761265,,,,,,0.0,1.0,4.0
GOOGL,2025-12-08,3,,,,-0.3333307107289632,,,,,-0.0197781184617957,,,,,,0.0,1.0,2.0
META,2025-12-08,40,,,,-0.0071487039327621,,,,,-0.0037948411279585,,,,,,5.0,5.0,30.0
TSLA,2025-12-08,6,,,,-0.496934433778127,,,,,-0.0175886141916657,,,,,,0.0,3.0,3.0
AAPL,2025-12-09,3,,,,-0.3330979148546855,,,,,-0.0035231915927013,,,,,,1.0,2.0,0.0
MSFT,2025-12-09,2,,,,0.499962568283081,,,,,0.0059701142378196,,,,,,1.0,0.0,1.0
NVDA,2025-12-09,27,,,,0.3307350631113405,,,,,-0.0031795448677149,,,,,,12.0,3.0,12.0
AMZN,2025-12-09,3,,,,2.304712931315104e-06,,,,,0.0047610732167617,,,,,,1.0,1.0,1.0
GOOGL,2025-12-09,2,,,,0.0,,,,,0.0150782454419513,,,,,,0.0,0.0,2.0
META,2025-12-09,24,,,,0.081283301115036,,,,,-0.0102595738858511,,,,,,3.0,1.0,20.0
TSLA,2025-12-09,1,,,,-0.999800980091095,,,,,0.017438416450616,,,,,,0.0,1.0,0.0
AAPL,2025-12-10,3,,,,0.3333333333333333,,,,,0.0037083664421129,,,,,,1.0,0.0,2.0
MSFT,2025-12-10,6,,,,-0.3050495485464732,,,,,-0.0113009549707626,,,,,,0.0,2.0,4.0
NVDA,2025-12-10,15,,,,0.1119997382164001,,,,,-0.0064334888552353,,,,,,3.0,1.0,11.0
AMZN,2025-12-10,7,,,,0.2311545014381408,,,,,0.0129802073877587,,,,,,3.0,1.0,3.0
GOOGL,2025-12-10,11,,,,0.0519415031779896,,,,,0.0138682362949418,,,,,,4.0,3.0,4.0
META,2025-12-10,31,,,,-0.1260512855745131,,,,,0.0002769331062399,,,,,,4.0,8.0,19.0
TSLA,2025-12-10,7,,,,0.0002232534544808,,,,,0.0120608980529419,,,,,,1.0,1.0,5.0
